지역명,아파트명,거래종류,전용면적,규모,거래가,층수,입주일,세대수,거래등록일,거래수수료
구리시,I-PARK,매매,84.94,중형,710000000,26,2024-02-21 0:00,255,2025-01-17 0:00,3550000
구리시,e-편한세상,매매,59.335,소형,560000000,9,2024-09-12 0:00,380,2025-01-13 0:00,2240000
구리시,푸르지오,매매,61.221,소형,445000000,7,2023-10-13 0:00,840,2025-02-11 0:00,1780000
구리시,래미안,전세,84.989,중형,420000000,21,2020-02-05 0:00,770,2025-02-27 0:00,1680000
군포시,래미안,매매,112.24,중형,990000000,3,2019-05-02 0:00,650,2025-01-21 0:00,5940000
군포시,e-편한세상,매매,117.994,대형,693000000,15,2027-10-29 0:00,730,2025-01-07 0:00,3465000
군포시,I-PARK,매매,84.367,중형,428000000,19,2027-04-01 0:00,560,2025-02-10 0:00,1712000
군포시,푸르지오,전세,84.992,중형,280000000,21,2025-04-18 0:00,280,2025-02-03 0:00,840000
남양주시,I-PARK,매매,84.62,중형,690000000,17,2022-04-21 0:00,410,2025-01-30 0:00,3450000
남양주시,e-편한세상,매매,74.98,중형,680000000,15,2023-05-06 0:00,620,2025-02-04 0:00,3400000
남양주시,푸르지오,매매,76.43,중형,470000000,20,2022-03-02 0:00,450,2025-01-09 0:00,1880000
남양주시,캐슬,전세,84.97,중형,310000000,18,2023-12-03 0:00,570,2025-02-05 0:00,1240000
성남시,I-PARK,매매,170.07,대형,1421000000,16,2023-03-05 0:00,180,2025-01-29 0:00,8526000
성남시,푸르지오,매매,84.51,중형,1055000000,24,2026-09-10 0:00,690,2025-02-05 0:00,6330000
성남시,I-PARK,매매,84.237,중형,529000000,8,2024-11-10 0:00,1200,2025-01-15 0:00,2116000
성남시,e-편한세상,전세,59.73,소형,430000000,4,2023-07-03 0:00,980,2025-02-03 0:00,1720000
성남시,푸르지오,전세,84.74,중형,430000000,15,2021-12-21 0:00,520,2025-02-06 0:00,1720000
수원시,자이,매매,125.6,대형,1400000000,23,2021-01-21 0:00,490,2025-02-20 0:00,8400000
수원시,I-PARK,매매,59.73,소형,730000000,19,2024-06-20 0:00,580,2025-01-08 0:00,3650000
수원시,레미안,전세,84.909,중형,540000000,26,2024-03-03 0:00,420,2025-01-21 0:00,2160000
수원시,힐스테이트,매매,59.648,소형,450000000,13,2024-05-02 0:00,920,2025-02-14 0:00,1800000
수원시,e-편한세상,매매,84.98,중형,445000000,21,2027-02-01 0:00,475,2025-02-08 0:00,1780000
안양시,힐스테이트,매매,84.909,중형,648000000,28,2022-02-21 0:00,365,2025-02-17 0:00,3240000
안양시,래미안,매매,84.99,중형,610000000,10,2022-11-20 0:00,480,2025-01-16 0:00,3050000
안양시,e-편한세상,매매,59.84,소형,520000000,7,2024-08-31 0:00,530,2025-02-22 0:00,2080000
안양시,주공,전세,59.73,소형,220000000,8,2025-03-21 0:00,640,2025-01-14 0:00,660000
용인시,래미안,매매,98.54,대형,940000000,8,2022-09-30 0:00,590,2025-02-20 0:00,5640000
용인시,푸르지오,전세,59.65,소형,490000000,29,2025-05-21 0:00,610,2025-01-17 0:00,1960000
용인시,e-편한세상,전세,84.96,중형,430000000,10,2024-01-23 0:00,390,2025-02-18 0:00,1720000
용인시,비발디,매매,84.989,중형,340000000,2,2025-01-05 0:00,470,2025-02-13 0:00,1360000
