출발공항	공항코드	항공월	항공편명	항공코드	여객	화물
김해	PUS	2025-07-14	74034	CJU7C034	3367	1548
김포	GMP	2025-05-03	KE022	CJUKE022	5428	2410
대구	TAE	2025-06-13	KE035	CJUKE035	1594	899
김해	PUS	2025-05-09	KE054	CJUKE054	2620	1060
광주	KWJ	2025-05-01	KE056	CJUKE056	1235	325
김포	GMP	2025-07-11	2032	CJUOZ032	4751	2150
김해	PUS	2025-05-22	2044	CJUOZ044	2531	856
대구	TAE	2025-07-20	2045	CJUOZ045	2385	1040
광주	KWJ	2025-05-25	2046	CJUOZ046	1755	436
대구	TAE	2025-06-17	1065	GMPBX065	2170	1207
김해	PUS	2025-07-01	1074	GMPBX074	6512	3520
김해	PUS	2025-06-30	1084	GMPBX084	5268	3210
대구	TAE	2025-05-01	JL055	GMPJL055	1962	1380
광주	KWJ	2025-06-01	JL066	GMPJL066	2654	1105
제주	CJU	2025-07-20	JL081	GMPJL081	4620	2150
제주	CJU	2025-05-11	KE021	GMPKE021	5324	954
제주	CJU	2025-05-08	2031	GMPOZ031	4985	1240
김해	PUS	2025-06-01	3064	GMPTW064	3874	1841
광주	KWJ	2025-07-01	3076	GMPTW076	2263	1360
김포	GMP	2025-07-01	1072	KWJBX072	1103	557
김포	GMP	2025-06-25	47062	KWJC7062	1128	898
제주	CJU	2025-07-03	RS071	KWJRS071	1540	965
제주	CJU	2025-06-01	3061	KWJTW061	1986	1010
대구	TAE	2025-07-01	3075	KWJTW075	1254	336
제주	CJU	2025-06-16	4J041	PUSCJ041	3856	842
제주	CJU	2025-05-17	JL051	PUSJL051	2210	1243
김포	GMP	2025-05-01	JL052	PUSJL052	3481	1462
김포	GMP	2025-06-05	3042	PUSTW042	2386	1164
광주	KWJ	2025-06-10	1086	TAEBX086	1520	425
김포	GMP	2025-06-18	KE082	TAEKE082	1658	401
